
From,January 1, 2021 EST
To,January 31, 2021 EST
Guelph, (28028) Hourly, Nitrogen Dioxide (NO2) Concentrations
Station,Guelph (28028)
Address,Exhibition St./clark St. W.
Latitude,43.551611
Longitude,-80.264167
Elevation, 330 metres
Air Intake Height,4 metres
Pollutant,Nitrogen Dioxide (Nitrogen Dioxide  NO2)
Unit, parts per billion (ppb)
Remarks, -999 for missing data. 9999 for invalid data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
28028,Nitrogen Dioxide,2021-01-01,25.1,29.1,25.1,25.6,23.3,21.7,23,21.7,20.7,11.2,5.9,6.4,6.5,3.6,2.9,3.3,3.4,4,4.2,3.7,4.3,3.9,4.1,5.6,
28028,Nitrogen Dioxide,2021-01-02,5.7,5.7,4.9,4.3,2.6,3.2,4.6,7.4,5,5.6,3.6,2.6,2.8,2.7,2.7,3,4.1,5.6,6.2,7.4,3.5,4.6,3.8,3.3,
28028,Nitrogen Dioxide,2021-01-03,3.4,5.9,7.5,7.7,5.3,5.3,6.2,5.1,6.7,6.8,6.6,5.3,4.8,4.9,5.4,5.5,6.4,7.6,7.3,7.3,7.2,9.7,8.9,4.8,
28028,Nitrogen Dioxide,2021-01-04,4.5,3.9,3.1,9999,3.7,3.7,4,5.4,4.4,5,4.4,5.3,3.9,4.6,7.1,5.5,6.4,6.7,8.4,11,11.5,11.5,11.6,9.8,
28028,Nitrogen Dioxide,2021-01-05,11.2,15,16.1,10.2,9.2,11.2,12.1,15.2,17.3,16.2,13.5,10.4,10.1,8.9,9.4,8,7.3,6.2,6.7,7.8,7,6.7,5.4,5.8,
28028,Nitrogen Dioxide,2021-01-06,8,5.7,6,7.5,5.4,5,3.5,3.5,6,5.2,4.3,3.7,3.5,3.2,4,4.2,4.1,4.3,3.2,3.5,3.6,4.6,3.5,2.2,
28028,Nitrogen Dioxide,2021-01-07,1.8,1.8,1.9,2.1,2.2,2.1,2.2,2.4,2.6,2.9,3.2,1.9,1.9,1.7,1.7,2.3,3,4.2,4.3,3.9,4.5,5.9,9,8.7,
28028,Nitrogen Dioxide,2021-01-08,10.8,7.4,5.2,3.9,4.7,3.3,3,3.6,4.1,2.9,2.8,2.9,2.8,2.1,1.9,2.7,5.7,6.8,5.6,7.7,6.9,7.2,7,7.4,
28028,Nitrogen Dioxide,2021-01-09,3.1,3.9,6.9,10,7.2,7,5.1,6.8,5.7,4.4,3.1,2.6,2,1.6,1.7,2.4,3.5,4.6,3.1,4.6,3.6,4.1,2.7,3.5,
28028,Nitrogen Dioxide,2021-01-10,5.4,3.4,4.5,3.2,2.6,2.7,3.2,3.5,3.8,3,3.1,2.2,2,2,2.4,2.7,3.5,5.2,7,6.1,7.3,9,14.6,19,
28028,Nitrogen Dioxide,2021-01-11,7.9,4,3.9,9999,7.1,9.4,15.8,24.8,20.5,15.4,8.7,8.9,9,6.9,5.7,6.9,7.4,8.1,8.4,8.3,8.1,7.3,8.4,8.6,
28028,Nitrogen Dioxide,2021-01-12,8.3,8.1,7.8,7.5,7.9,7.5,8.2,8.1,7.8,8,7.1,7.4,7.2,7.3,8.2,8.7,9.2,9.6,9.6,8.7,8.5,7.8,7.8,7.7,
