
From,January 1, 2021 EST
To,January 31, 2021 EST
Guelph, (28028) Hourly, Ground-level Ozone (O3) Concentrations
Station,Guelph (28028)
Address,Exhibition St./clark St. W.
Latitude,43.551611
Longitude,-80.264167
Elevation, 330 metres
Air Intake Height,4 metres
Pollutant,Ozone (Ozone O3)
Unit, parts per billion (ppb)
Remarks, -999 for missing data. 9999 for invalid data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
28028,Ozone,2021-01-01,4,3,2,2,1,1,1,1,1,16,23,25,27,31,33,33,31,29,28,29,27,26,26,24,
28028,Ozone,2021-01-02,23,23,23,23,27,27,26,23,26,26,30,32,31,31,32,32,31,28,28,27,32,30,31,31,
28028,Ozone,2021-01-03,31,26,23,25,28,29,27,29,24,23,24,26,27,27,27,27,26,23,23,21,20,17,18,22,
28028,Ozone,2021-01-04,26,29,29,9999,30,31,31,31,32,31,30,29,29,29,27,28,27,26,23,18,14,13,13,14,
28028,Ozone,2021-01-05,12,7,5,11,13,11,11,8,6,6,9,13,14,17,18,20,25,25,23,21,22,20,21,24,
28028,Ozone,2021-01-06,21,23,23,20,22,23,32,33,29,29,31,33,34,34,35,35,34,33,33,32,31,29,29,32,
28028,Ozone,2021-01-07,31,32,32,32,32,31,32,31,30,29,29,31,31,31,33,34,33,31,29,28,27,25,20,19,
28028,Ozone,2021-01-08,17,20,23,24,24,26,26,26,26,28,30,31,33,35,37,37,34,32,32,29,30,29,29,29,
28028,Ozone,2021-01-09,34,32,29,26,29,28,30,30,32,32,35,37,40,42,42,41,39,36,36,33,33,32,34,33,
28028,Ozone,2021-01-10,30,32,30,35,37,37,36,36,34,35,35,37,38,37,36,36,35,32,29,30,29,26,17,11,
28028,Ozone,2021-01-11,25,32,32,9999,28,24,16,6,9,12,17,16,19,23,28,29,27,27,26,25,25,25,23,22,
28028,Ozone,2021-01-12,21,21,22,22,21,21,21,20,18,17,18,18,19,18,17,15,14,13,12,13,12,13,13,12,
28028,Ozone,2021-01-13,12,12,15,18,17,16,16,15,14,15,19,19,21,22,21,20,18,17,16,11,12,11,9,8,
28028,Ozone,2021-01-14,7,2,0,0,0,0,0,0,1,3,7,13,16,23,24,19,15,10,1,2,4,4,6,9,
28028,Ozone,2021-01-15,13,18,15,18,19,18,19,19,20,22,23,23,24,24,25,25,24,23,23,22,22,22,20,19,
28028,Ozone,2021-01-16,19,21,23,24,22,22,24,16,10,22,26,27,29,30,29,29,28,27,29,29,29,30,29,26,
28028,Ozone,2021-01-17,24,23,22,20,21,21,21,22,22,24,24,25,27,27,27,25,24,24,25,24,24,25,29,28,
28028,Ozone,2021-01-18,29,27,26,9999,24,22,21,16,14,22,24,27,26,28,32,32,32,32,31,30,30,28,25,24,
28028,Ozone,2021-01-19,22,20,26,27,27,25,19,14,17,20,28,29,30,30,30,31,30,31,31,31,31,31,33,34,
28028,Ozone,2021-01-20,34,35,34,33,33,32,30,30,29,30,32,34,34,34,34,34,33,34,32,29,29,29,29,30,
28028,Ozone,2021-01-21,31,29,28,29,28,27,24,23,23,24,26,27,28,29,29,28,25,24,23,24,28,34,34,34,
28028,Ozone,2021-01-22,34,33,33,32,32,32,31,30,30,32,33,33,33,33,33,33,33,33,33,34,34,34,34,34,
28028,Ozone,2021-01-23,33,32,32,32,31,30,30,29,30,31,34,37,39,39,39,39,39,38,38,38,38,37,37,36,
28028,Ozone,2021-01-24,35,31,31,32,32,28,23,20,19,26,33,37,39,40,40,40,39,38,38,35,35,33,28,30,
28028,Ozone,2021-01-25,32,31,29,9999,19,19,18,9,9,36,39,39,39,38,38,36,37,32,25,27,24,22,16,15,
28028,Ozone,2021-01-26,11,18,20,23,25,28,27,26,28,28,29,33,32,33,34,35,34,36,36,35,34,32,32,32,
28028,Ozone,2021-01-27,30,35,36,35,36,35,33,33,31,32,33,9999,9999,9999,9999,36,34,33,32,33,34,34,34,34,
28028,Ozone,2021-01-28,35,35,34,31,30,28,32,34,35,35,36,36,36,37,37,38,37,34,35,36,37,38,38,37,
28028,Ozone,2021-01-29,37,38,37,30,32,30,29,31,32,38,41,42,41,41,41,41,41,39,39,38,38,38,37,33,
28028,Ozone,2021-01-30,22,18,19,16,19,17,5,5,6,16,24,36,41,43,43,44,44,37,25,9,21,31,34,33,
28028,Ozone,2021-01-31,32,31,30,31,28,28,27,25,26,27,28,32,32,33,36,36,36,35,31,33,34,33,33,33,






Air Quality Ontario. Maintained by the Government of Ontario
Copyright Queen's Printer for Ontario2023
See Disclaimer at: http://www.airqualityontario.com/science/disclaimer.php 
