
From,January 1, 2021 EST
To,January 31, 2021 EST
Guelph, (28028) Hourly, Fine Particulate Matter (PM2.5) Concentrations
Station,Guelph (28028)
Address,Exhibition St./clark St. W.
Latitude,43.551611
Longitude,-80.264167
Elevation, 330 metres
Air Intake Height,4 metres
Pollutant,Fine Particulate Matter (Fine Particulate Matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, -999 for missing data. 9999 for invalid data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
28028,Fine Particulate Matter,2021-01-01,59,55,38,43,29,20,22,13,12,9,9,7,7,6,5,5,6,7,6,4,4,3,4,3,
28028,Fine Particulate Matter,2021-01-02,2,2,1,1,1,1,2,1,1,2,4,4,4,5,5,8,7,12,12,11,7,9,8,6,
28028,Fine Particulate Matter,2021-01-03,6,15,18,11,6,6,7,6,9,9,6,5,4,5,6,8,11,13,13,14,15,16,18,18,
28028,Fine Particulate Matter,2021-01-04,14,13,12,8,7,8,8,8,9,9,7,6,7,7,10,11,11,11,15,19,23,24,24,22,
28028,Fine Particulate Matter,2021-01-05,21,21,22,23,23,22,22,23,24,30,27,22,18,14,20,17,10,10,11,11,11,12,13,9,
28028,Fine Particulate Matter,2021-01-06,8,10,12,15,19,19,3,1,1,1,1,2,3,4,2,1,1,2,2,2,2,3,3,1,
28028,Fine Particulate Matter,2021-01-07,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,3,6,8,4,4,5,4,4,
28028,Fine Particulate Matter,2021-01-08,5,5,4,3,2,3,2,2,3,2,1,1,2,2,3,6,18,11,15,25,21,5,4,2,
28028,Fine Particulate Matter,2021-01-09,1,2,2,2,2,2,1,1,1,2,2,2,1,1,2,4,8,12,11,8,7,7,6,8,
28028,Fine Particulate Matter,2021-01-10,8,6,5,4,2,4,6,5,4,4,6,5,5,6,7,7,10,23,27,18,13,13,12,15,
28028,Fine Particulate Matter,2021-01-11,17,26,17,16,19,20,21,25,31,38,37,36,34,25,14,12,12,13,16,20,24,26,27,29,
28028,Fine Particulate Matter,2021-01-12,25,21,20,21,21,23,24,22,19,17,11,8,10,10,9,8,7,8,10,16,21,22,22,20,
28028,Fine Particulate Matter,2021-01-13,22,26,23,13,14,17,20,25,26,23,19,21,20,18,19,20,20,21,21,22,22,21,22,23,
28028,Fine Particulate Matter,2021-01-14,23,25,25,25,25,25,24,24,24,27,29,30,30,27,26,28,28,30,33,34,33,39,41,37,
28028,Fine Particulate Matter,2021-01-15,29,23,28,25,22,23,20,19,14,11,11,12,13,14,15,15,16,17,16,16,16,10,8,7,
28028,Fine Particulate Matter,2021-01-16,9,12,11,10,9,10,11,11,13,10,10,10,12,15,18,14,12,12,8,7,6,6,7,9,
28028,Fine Particulate Matter,2021-01-17,8,8,10,13,10,8,5,3,3,3,3,3,2,2,3,3,4,4,4,3,3,3,5,3,
28028,Fine Particulate Matter,2021-01-18,2,2,3,3,2,3,3,4,5,5,4,4,5,5,4,4,3,2,2,2,2,4,4,6,
28028,Fine Particulate Matter,2021-01-19,10,13,7,5,5,6,15,19,19,16,6,5,3,3,3,3,3,4,4,4,4,4,4,4,
28028,Fine Particulate Matter,2021-01-20,4,4,4,4,3,0,0,0,0,1,1,0,0,1,1,1,2,2,4,4,5,5,6,8,
28028,Fine Particulate Matter,2021-01-21,14,17,16,10,8,8,8,8,9,9,10,10,9,10,9,10,14,11,9,10,8,3,3,3,
28028,Fine Particulate Matter,2021-01-22,3,3,3,4,3,1,1,1,1,0,0,1,2,1,1,1,1,1,1,1,1,1,1,1,
28028,Fine Particulate Matter,2021-01-23,1,1,1,1,1,2,2,2,2,2,1,0,0,0,0,0,0,1,1,0,1,2,1,1,
28028,Fine Particulate Matter,2021-01-24,2,3,3,2,2,3,4,6,8,7,4,3,3,2,3,3,4,6,6,8,8,8,10,5,
28028,Fine Particulate Matter,2021-01-25,3,2,3,4,6,7,10,10,11,5,5,6,7,8,10,11,15,19,27,27,20,19,18,16,
28028,Fine Particulate Matter,2021-01-26,16,17,17,16,13,11,9,8,7,5,3,3,3,3,2,2,4,5,6,6,5,5,5,5,
28028,Fine Particulate Matter,2021-01-27,5,3,2,2,2,3,3,3,5,5,3,9999,9999,9999,9999,6,6,7,6,4,3,3,2,2,
28028,Fine Particulate Matter,2021-01-28,2,2,3,2,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,
28028,Fine Particulate Matter,2021-01-29,0,0,0,0,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,
28028,Fine Particulate Matter,2021-01-30,1,2,2,5,5,4,3,4,6,7,5,2,1,1,2,1,2,5,23,25,14,9,7,6,
28028,Fine Particulate Matter,2021-01-31,5,5,5,4,4,4,5,7,9,8,6,5,5,4,3,3,3,4,5,4,4,3,3,3,





Air Quality Ontario. Maintained by the Government of Ontario
Copyright Queen's Printer for Ontario2023
See Disclaimer at: http://www.airqualityontario.com/science/disclaimer.php 
