
From,August 1, 2021 EST
To,August 31, 2021 EST
Toronto Downtown, (31129) Hourly, Nitrogen Dioxide (NO2) Concentrations
Station,Toronto Downtown (31129)
Address,55 John St.
Latitude,43.64543
Longitude,-79.38908
Elevation, 85 metres
Air Intake Height,3 metres
Pollutant,Nitrogen Dioxide (Nitrogen Dioxide  NO2)
Unit, parts per billion (ppb)
Remarks, -999 for missing data. 9999 for invalid data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
31129,Nitrogen Dioxide,2021-08-01,4.8,11,6.8,5.9,6.3,4,5.5,5.2,5.3,5.7,4.8,4.7,4.1,2.4,3.4,4.3,3.6,2.5,2.9,3.6,4.6,7.8,6.8,8.4,
31129,Nitrogen Dioxide,2021-08-02,10,6.8,6.7,6.3,9.9,9.8,5.9,5.1,4.2,4.6,3.5,3.4,4.9,5.6,5.1,4.4,6.5,6.7,10.7,9.3,8,15.6,13,14.2,
31129,Nitrogen Dioxide,2021-08-03,17.9,16.1,13.9,10.2,14.5,18.1,20.5,24.6,23.6,15.5,10.8,13.4,9.3,6.3,6.4,6.5,8.8,6.2,6.5,6.1,5.2,10.3,10.5,11.9,
31129,Nitrogen Dioxide,2021-08-04,14.7,13,12.1,9.9,20.6,26.8,32.9,36.6,26.7,22.6,15.3,10.4,8.6,7.7,11.8,11.8,9.2,9.1,12.4,15.2,10.2,11.1,10.8,11.7,
31129,Nitrogen Dioxide,2021-08-05,11.6,16.1,10.5,10.7,18.4,17.5,27.3,32.1,24.4,10.4,10,11.1,7.7,6.3,10,11.2,9.9,11,11.9,10,12.7,10.1,9.3,9.6,
31129,Nitrogen Dioxide,2021-08-06,9.9,13.4,13.1,15.4,11.8,14.1,16.7,23.6,17.8,12.8,6.2,10.8,12.7,9.5,5.9,6.1,10.7,7.8,6.4,13.8,6.4,7.5,5.2,6.3,
31129,Nitrogen Dioxide,2021-08-07,5.3,10.5,7.6,7.3,4.8,10.2,16.2,10.7,10.2,15,9.9,9.5,8.8,9,8.6,9.7,19.8,14.1,15.6,13.3,20.4,15.7,15.7,9.9,
31129,Nitrogen Dioxide,2021-08-08,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,
31129,Nitrogen Dioxide,2021-08-09,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,
31129,Nitrogen Dioxide,2021-08-10,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,
31129,Nitrogen Dioxide,2021-08-11,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,
31129,Nitrogen Dioxide,2021-08-12,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,
31129,Nitrogen Dioxide,2021-08-13,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,
31129,Nitrogen Dioxide,2021-08-14,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,
31129,Nitrogen Dioxide,2021-08-15,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,
31129,Nitrogen Dioxide,2021-08-16,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,
31129,Nitrogen Dioxide,2021-08-17,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,
31129,Nitrogen Dioxide,2021-08-18,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,
31129,Nitrogen Dioxide,2021-08-19,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,
31129,Nitrogen Dioxide,2021-08-20,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,
31129,Nitrogen Dioxide,2021-08-21,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,
31129,Nitrogen Dioxide,2021-08-22,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,
31129,Nitrogen Dioxide,2021-08-23,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,
31129,Nitrogen Dioxide,2021-08-24,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,
31129,Nitrogen Dioxide,2021-08-25,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,
31129,Nitrogen Dioxide,2021-08-26,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,
31129,Nitrogen Dioxide,2021-08-27,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,
31129,Nitrogen Dioxide,2021-08-28,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,
31129,Nitrogen Dioxide,2021-08-29,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,
31129,Nitrogen Dioxide,2021-08-30,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,10.9,10.4,13.8,10.2,10.6,8.7,7.2,7.3,8.2,11.3,14.7,14.9,15,
31129,Nitrogen Dioxide,2021-08-31,14.4,15.2,8.2,7.5,7.1,8.9,14.3,12.7,12.9,8.8,10.1,10.2,11.5,11,11.3,8.1,5.1,4.3,3.7,4.5,5.9,3.9,3.7,3.8,





Air Quality Ontario. Maintained by the Government of Ontario
Copyright Queen's Printer for Ontario2023
See Disclaimer at: http://www.airqualityontario.com/science/disclaimer.php 
