
From,August 1, 2021 EST
To,August 31, 2021 EST
Toronto Downtown, (31129) Hourly, Ground-level Ozone (O3) Concentrations
Station,Toronto Downtown (31129)
Address,55 John St.
Latitude,43.64543
Longitude,-79.38908
Elevation, 85 metres
Air Intake Height,3 metres
Pollutant,Ozone (Ozone O3)
Unit, parts per billion (ppb)
Remarks, -999 for missing data. 9999 for invalid data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
31129,Ozone,2021-08-01,35,26,27,24,22,23,21,20,22,24,25,26,28,31,30,29,27,27,25,25,23,18,14,14,
31129,Ozone,2021-08-02,15,17,15,15,11,10,16,20,23,25,29,29,32,39,40,39,41,44,39,37,36,25,24,14,
31129,Ozone,2021-08-03,7,9,8,12,10,8,6,5,9,17,29,38,43,50,53,55,54,43,37,36,37,33,30,27,
31129,Ozone,2021-08-04,23,25,24,28,10,3,2,3,13,26,40,46,50,51,51,49,50,48,41,38,44,43,43,39,
31129,Ozone,2021-08-05,36,36,38,32,22,25,21,15,21,38,40,40,47,46,47,51,49,46,44,48,43,46,46,42,
31129,Ozone,2021-08-06,37,30,28,22,26,28,27,26,33,40,51,48,48,50,58,61,53,59,62,49,56,53,57,55,
31129,Ozone,2021-08-07,56,47,51,47,47,37,31,36,38,33,42,53,64,63,59,51,42,44,41,46,38,41,38,41,
31129,Ozone,2021-08-08,41,43,39,40,43,36,31,35,45,43,47,57,64,62,62,61,61,56,52,49,44,46,41,46,
31129,Ozone,2021-08-09,43,46,44,40,34,28,25,25,25,38,42,47,48,48,50,45,45,44,47,45,51,48,45,41,
31129,Ozone,2021-08-10,38,36,33,40,39,33,32,30,26,31,34,36,41,43,38,39,38,42,39,28,24,31,31,32,
31129,Ozone,2021-08-11,31,30,25,22,22,27,34,34,31,33,36,45,48,48,48,49,48,46,48,41,38,33,35,43,
31129,Ozone,2021-08-12,44,41,40,39,31,27,29,34,37,36,31,36,44,48,49,49,49,45,41,32,38,39,36,36,
31129,Ozone,2021-08-13,32,37,36,32,28,23,14,15,16,27,33,39,39,44,43,45,41,37,29,29,30,36,35,33,
31129,Ozone,2021-08-14,35,30,28,26,27,28,27,28,31,32,32,33,34,35,36,36,35,34,31,29,30,29,27,24,
31129,Ozone,2021-08-15,23,20,17,15,19,20,21,19,20,21,22,28,25,26,28,31,27,25,27,25,25,23,24,22,
31129,Ozone,2021-08-16,27,23,18,15,16,16,15,14,22,26,30,33,33,34,27,29,30,32,32,30,31,31,29,25,
31129,Ozone,2021-08-17,27,23,19,16,12,11,6,2,6,17,26,32,32,35,34,33,36,33,32,30,35,38,37,35,
31129,Ozone,2021-08-18,29,17,14,11,10,7,8,4,8,18,21,24,27,27,19,21,19,18,18,25,24,21,22,22,
31129,Ozone,2021-08-19,16,15,17,13,16,15,13,16,16,24,30,36,52,67,72,66,70,71,62,44,37,37,34,35,
31129,Ozone,2021-08-20,35,36,36,30,16,14,9,14,24,30,30,46,55,47,44,45,39,37,30,43,47,35,23,19,
31129,Ozone,2021-08-21,19,22,17,10,8,10,8,10,17,20,31,36,38,46,39,34,24,24,22,16,15,20,21,9,
31129,Ozone,2021-08-22,22,23,19,19,12,6,8,12,25,34,44,55,57,54,52,47,44,52,45,35,29,29,32,38,
31129,Ozone,2021-08-23,36,31,26,24,23,21,16,15,16,20,20,34,51,65,64,57,44,40,42,38,36,32,32,29,
31129,Ozone,2021-08-24,26,24,18,17,20,15,12,12,14,31,42,51,53,54,62,57,56,54,57,44,25,22,19,28,
31129,Ozone,2021-08-25,25,17,14,27,34,31,28,24,24,40,54,54,51,46,48,42,46,42,37,33,33,29,26,29,
31129,Ozone,2021-08-26,27,27,26,23,21,20,15,10,10,18,25,36,50,51,47,50,43,37,34,33,25,32,33,34,
31129,Ozone,2021-08-27,33,34,32,29,20,15,15,17,19,22,21,23,21,24,24,19,17,21,21,22,17,20,20,21,
31129,Ozone,2021-08-28,25,27,26,22,20,21,19,16,16,19,19,27,30,27,26,27,30,33,37,34,19,10,6,15,
31129,Ozone,2021-08-29,15,26,29,27,27,24,23,28,29,30,36,44,51,45,40,41,43,48,45,41,40,33,34,33,
31129,Ozone,2021-08-30,30,26,29,26,20,14,7,10,22,28,37,43,41,36,39,37,39,38,36,33,28,22,20,19,
31129,Ozone,2021-08-31,19,16,21,19,19,17,13,19,20,26,28,33,29,36,36,31,31,30,30,26,25,28,27,24,





Air Quality Ontario. Maintained by the Government of Ontario
Copyright Queen's Printer for Ontario2023
See Disclaimer at: http://www.airqualityontario.com/science/disclaimer.php 
