
From,August 1, 2021 EST
To,August 31, 2021 EST
Toronto Downtown, (31129) Hourly, Fine Particulate Matter (PM2.5) Concentrations
Station,Toronto Downtown (31129)
Address,55 John St.
Latitude,43.64543
Longitude,-79.38908
Elevation, 85 metres
Air Intake Height,3 metres
Pollutant,Fine Particulate Matter (Fine Particulate Matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, -999 for missing data. 9999 for invalid data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
31129,Fine Particulate Matter,2021-08-01,6,8,11,13,16,12,7,4,5,5,7,8,8,6,5,5,3,2,4,7,8,6,6,7,
31129,Fine Particulate Matter,2021-08-02,10,11,9,4,4,4,4,4,5,5,4,4,5,8,7,7,5,5,5,3,4,7,8,14,
31129,Fine Particulate Matter,2021-08-03,18,13,15,16,14,13,14,17,14,10,8,10,11,10,11,13,12,6,6,7,8,10,13,13,
31129,Fine Particulate Matter,2021-08-04,12,17,18,13,15,18,20,19,13,11,10,9,11,11,11,14,15,16,15,15,10,5,12,12,
31129,Fine Particulate Matter,2021-08-05,10,11,12,15,16,14,12,12,12,10,11,12,13,13,15,15,15,11,11,9,14,15,14,14,
31129,Fine Particulate Matter,2021-08-06,17,16,14,14,10,8,8,12,11,7,8,10,13,16,22,25,19,17,15,16,15,14,18,20,
31129,Fine Particulate Matter,2021-08-07,21,19,18,19,19,19,16,15,16,18,16,18,18,13,13,10,11,10,9,12,13,12,12,12,
31129,Fine Particulate Matter,2021-08-08,11,14,18,15,19,20,20,21,22,27,28,16,13,14,13,16,16,13,13,13,12,12,13,14,
31129,Fine Particulate Matter,2021-08-09,15,14,15,18,21,21,20,20,20,21,20,19,21,24,25,30,27,21,18,17,17,14,12,12,
31129,Fine Particulate Matter,2021-08-10,11,13,11,11,12,12,12,9,9,9,8,6,7,6,5,6,7,6,8,10,8,5,5,7,
31129,Fine Particulate Matter,2021-08-11,6,7,20,23,23,9,6,4,6,8,10,10,8,10,15,17,15,12,10,10,9,9,11,10,
31129,Fine Particulate Matter,2021-08-12,8,8,8,8,6,3,4,4,4,3,4,3,3,3,6,9,12,13,13,11,12,11,9,9,
31129,Fine Particulate Matter,2021-08-13,10,12,11,6,5,6,7,9,10,11,12,13,15,15,15,14,14,7,4,5,4,3,3,3,
31129,Fine Particulate Matter,2021-08-14,3,3,3,3,2,2,4,5,5,4,2,2,2,2,2,6,7,5,4,4,3,2,2,2,
31129,Fine Particulate Matter,2021-08-15,2,2,3,4,3,3,3,2,2,2,2,3,2,2,3,5,9,8,7,4,6,8,11,9,
31129,Fine Particulate Matter,2021-08-16,5,9,9,8,8,7,9,11,10,8,10,11,14,12,11,9,9,7,7,5,3,5,6,8,
31129,Fine Particulate Matter,2021-08-17,7,8,8,5,4,7,6,7,7,6,7,6,7,8,9,9,7,7,9,10,7,5,4,5,
31129,Fine Particulate Matter,2021-08-18,7,6,5,5,9,12,17,14,14,10,9,11,10,10,6,6,6,4,3,2,2,3,2,4,
31129,Fine Particulate Matter,2021-08-19,6,4,4,6,9,8,9,9,11,15,13,13,16,18,16,19,21,12,8,7,6,9,8,4,
31129,Fine Particulate Matter,2021-08-20,2,3,5,6,9,13,14,14,9,8,10,13,15,15,15,17,16,14,14,14,17,15,14,9,
31129,Fine Particulate Matter,2021-08-21,9,9,9,10,9,10,10,11,12,10,9,13,14,16,16,16,14,10,10,9,9,8,9,11,
31129,Fine Particulate Matter,2021-08-22,8,8,10,9,9,10,12,12,12,13,16,16,15,14,12,12,13,16,12,10,10,9,9,8,
31129,Fine Particulate Matter,2021-08-23,8,8,9,10,10,10,11,12,13,13,13,14,17,21,20,17,16,12,9,7,4,6,7,8,
31129,Fine Particulate Matter,2021-08-24,10,10,10,10,7,6,7,7,7,9,7,7,9,7,10,18,17,13,10,11,11,7,7,6,
31129,Fine Particulate Matter,2021-08-25,6,4,10,13,12,13,11,11,10,14,16,18,14,12,11,11,15,13,11,12,11,9,6,4,
31129,Fine Particulate Matter,2021-08-26,4,6,7,7,8,9,12,14,8,7,9,11,9,8,9,22,26,18,13,11,11,8,10,10,
31129,Fine Particulate Matter,2021-08-27,10,9,10,6,6,6,7,3,2,1,2,4,2,3,2,2,2,2,2,2,2,5,3,3,
31129,Fine Particulate Matter,2021-08-28,3,3,2,3,2,3,2,2,2,2,2,4,6,9,14,23,20,19,15,12,10,10,10,13,
31129,Fine Particulate Matter,2021-08-29,12,8,9,9,13,15,11,10,12,14,16,19,17,17,8,8,14,17,18,15,11,22,5,4,
31129,Fine Particulate Matter,2021-08-30,5,4,4,5,6,9,11,11,10,9,6,3,2,3,2,4,5,5,5,4,4,4,5,5,
31129,Fine Particulate Matter,2021-08-31,6,7,7,7,7,8,8,9,9,6,4,9,10,9,6,4,2,1,1,1,1,1,1,2,





Air Quality Ontario. Maintained by the Government of Ontario
Copyright Queen's Printer for Ontario2023
See Disclaimer at: http://www.airqualityontario.com/science/disclaimer.php 
