
From,January 1, 2021 EST
To,January 31, 2021 EST
Toronto Downtown, (31129) Hourly, Nitrogen Dioxide (NO2) Concentrations
Station,Toronto Downtown (31129)
Address,55 John St.
Latitude,43.64543
Longitude,-79.38908
Elevation, 85 metres
Air Intake Height,3 metres
Pollutant,Nitrogen Dioxide (Nitrogen Dioxide  NO2)
Unit, parts per billion (ppb)
Remarks, -999 for missing data. 9999 for invalid data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
31129,Nitrogen Dioxide,2021-01-01,15.2,16.3,19.6,13.4,16.4,23.3,11,4.3,5.3,5.1,8.3,11.5,8.5,6.6,6.1,7.8,8.4,7.8,7.6,7.6,7.3,6.8,6,5.7,
31129,Nitrogen Dioxide,2021-01-02,5.5,9.1,7.2,9,9.7,6.8,11.5,12.5,10.8,10.9,9.5,9.4,9.6,7.2,7,9.9,7.5,8.5,10.2,8.1,6.3,6.1,6.7,15.9,
31129,Nitrogen Dioxide,2021-01-03,9.5,9,7.6,6.8,6.1,7.8,7.9,7.8,13.1,7.8,8.1,12.1,10.9,6.3,14.2,14.2,12.8,15.4,15.5,14.7,17.9,19.5,21.4,19.4,
31129,Nitrogen Dioxide,2021-01-04,15.1,11.3,9.4,8.2,7.1,9.2,10.1,12,15.6,17.6,13.8,14.5,18.5,17.7,15.5,15.9,15.8,21.4,15.8,17.5,19.7,18.1,12.4,10.4,
31129,Nitrogen Dioxide,2021-01-05,6.7,8.5,7.5,8.7,8.4,9.3,15.8,18.3,20.9,19.4,19.6,18.3,15.2,14.1,15.8,18.7,19.9,15.8,14.9,15.1,15.5,16,19.4,19.3,
31129,Nitrogen Dioxide,2021-01-06,17.9,14.6,14.8,17.2,13.1,9.4,13.5,15.3,12.3,17.7,17.8,10.3,9.6,7.7,7.1,6.7,7.3,7.4,7.7,9.4,6.5,5.7,7.6,6.8,
31129,Nitrogen Dioxide,2021-01-07,8.1,7.8,7.3,6.6,6.4,6.4,7.1,8,10.5,11.1,10.9,11.4,12.4,11.1,11.6,15.8,13.1,10.5,10.3,9.4,12.8,11.2,12.7,9.6,
31129,Nitrogen Dioxide,2021-01-08,9.4,13.1,11.8,10.4,10.3,10.5,16.8,12.9,12.6,14,19.4,15.4,13,12.6,15.8,14.3,17.4,27,21.8,24,24.3,17.1,13.3,14.4,
31129,Nitrogen Dioxide,2021-01-09,13.1,15.2,10.8,9.9,10.2,10.3,8.4,17.8,25.2,18.8,18.2,17.6,14.8,10.2,9.6,11.3,12.5,13,13.4,12.5,15.1,10.6,13.1,13.5,
31129,Nitrogen Dioxide,2021-01-10,12.2,10.8,10.7,8,7.2,6.7,7.2,7.1,7.3,8.4,13.5,11,8.8,6.6,10.6,8.9,9.7,10.7,14.4,17.1,18.1,25.9,23.8,27.9,
31129,Nitrogen Dioxide,2021-01-11,33.5,32,28.4,27.6,18.4,20.2,23.9,34.7,27.6,28.6,15,15.5,22.3,16,13.3,13.1,12.4,11.3,11.1,11.9,10,9.8,10.1,9.6,
31129,Nitrogen Dioxide,2021-01-12,10.6,10.1,8.5,7.6,8.3,10.4,14.2,16.7,15.8,15,16.5,14.6,15.3,18,12.6,17.2,18.2,13.4,12,12.7,11.7,12.2,13.8,14.3,
31129,Nitrogen Dioxide,2021-01-13,13.1,11.9,9,8.6,9.8,10.8,13.3,15.5,15.3,11.5,16.3,12.5,14.1,12,11.6,11.9,8.5,15.2,12.9,13.3,13.3,16.2,13.3,14.3,
31129,Nitrogen Dioxide,2021-01-14,18.6,19.9,19.2,20.6,19.7,19,20.2,21.7,22.7,22.5,24.6,25.1,24.1,18.7,18.9,22.3,22.4,21.6,18.8,19.8,17.9,15,14.4,11.5,
31129,Nitrogen Dioxide,2021-01-15,8.6,9,6.4,5.9,5.8,5.9,8.2,12,13.9,13.8,13.7,12.3,12.6,10.3,10.2,10.9,11.1,11.5,9.6,7,7.4,10.3,11.7,10.6,
31129,Nitrogen Dioxide,2021-01-16,10.5,11.8,9.7,10.4,9.7,14,15.3,18.9,21.6,18.7,15.7,11.7,8.8,7.4,7.7,6,7.6,9.4,11.1,10.4,8.5,7.6,6.5,6.8,
31129,Nitrogen Dioxide,2021-01-17,6.5,8.5,8,7.9,7.5,7.7,9.3,11.5,11.4,9.3,9.3,6.4,5.9,4.9,5.5,5.8,8.3,11.4,13.4,13.2,11.1,7.8,7.9,11.8,
31129,Nitrogen Dioxide,2021-01-18,10.2,9,8.2,12.2,13.1,9.5,19.2,23.2,24.7,25.6,21.6,18.5,19,18,17.9,20.8,15.4,23.1,16.9,16.7,18.6,17.6,18.6,16.9,
31129,Nitrogen Dioxide,2021-01-19,11,10.6,10.4,9.7,12.8,11.7,11.4,16,14.8,13.8,12.5,12.7,10.1,7.9,9.6,9.5,7.2,7.9,8.6,9.6,10.4,9.4,8.6,7.7,
31129,Nitrogen Dioxide,2021-01-20,8,9.6,9.5,8.9,8.7,6.8,12.7,24.5,10.7,15.1,13.8,14.5,12.8,16.5,9.8,11.9,12.3,12.6,10.8,11.1,12.1,9.4,5.4,4,
31129,Nitrogen Dioxide,2021-01-21,3.6,5.3,7,5.2,6.5,10,11,13.9,14.2,13,12,10.2,10.4,11.5,14.5,14.6,12.5,12.7,11.7,11.3,13.6,15,10,7,
31129,Nitrogen Dioxide,2021-01-22,9.2,8,7,7.7,7.4,8.3,12.4,14.7,16.1,10.9,10.6,9.6,7.1,8,7.1,8.8,8.1,8.5,9,7.9,7.6,8.4,7.2,7.4,
31129,Nitrogen Dioxide,2021-01-23,8.5,8.6,8.2,10.5,11.6,13.2,13.9,17.1,15.5,14.3,10.7,8.6,6.5,5.3,4.8,5.7,5.7,6.9,9.5,10.7,10,11.6,12.3,12.4,
31129,Nitrogen Dioxide,2021-01-24,13.1,13.4,10.8,10.5,10,13.8,11.8,20.3,18.7,20.1,12.3,8.6,4.7,4.3,4.8,7.1,5.8,5.7,5.9,6.6,5.9,5.9,5.8,5.1,
31129,Nitrogen Dioxide,2021-01-25,4.7,6.3,5.3,3.8,4.3,6,5.7,9.4,10.5,18.2,16.6,19.4,20.2,17.5,13.9,13.8,13.1,13.5,26.9,27.4,21.3,18,20.7,21.1,
31129,Nitrogen Dioxide,2021-01-26,17.9,17.1,14.2,14.9,8.2,6.3,8.6,11.4,11.7,9.2,9.6,11.2,10.9,11.5,9.9,11.4,11.4,9.7,10.5,11,10.5,7.8,9.5,8.8,
31129,Nitrogen Dioxide,2021-01-27,6.2,9.1,12,12.1,13.9,14.4,18,18.8,17.1,13,11.5,9.3,10.9,9.4,9.4,10.2,9.9,9.9,12.6,13.2,15.6,9.1,9.2,11.8,
31129,Nitrogen Dioxide,2021-01-28,9.9,15.6,17.6,13,9.9,17.3,16.7,21.6,21.2,15.4,14.8,15.6,9.4,10.6,10,10,10.4,12,12.5,11,14.2,13.6,12,12.1,
31129,Nitrogen Dioxide,2021-01-29,10.8,10.9,8.6,11.6,8.4,16.8,24.8,30.6,27.6,26.5,23.7,18.5,14.6,15.5,17.1,17,16.6,14.2,12.3,12.5,11.8,12.8,12.8,10.3,
31129,Nitrogen Dioxide,2021-01-30,13.7,22.7,17.8,15.7,19.6,23.9,26.7,31.1,31.1,16.1,21.4,21.8,17.3,14.2,12.9,10.9,9.7,11.6,12.5,14.2,21.8,15.7,18.5,17.6,
31129,Nitrogen Dioxide,2021-01-31,17.6,18.3,16.6,16.6,16.9,16,15.8,12.7,11.3,8.6,7.9,7.2,5.9,5.9,5.4,5.5,7.9,10.1,15.3,15.6,9.4,7.1,9.3,9.8,





Air Quality Ontario. Maintained by the Government of Ontario
Copyright Queen's Printer for Ontario2023
See Disclaimer at: http://www.airqualityontario.com/science/disclaimer.php 
