
From,January 1, 2021 EST
To,January 31, 2021 EST
Toronto Downtown, (31129) Hourly, Ground-level Ozone (O3) Concentrations
Station,Toronto Downtown (31129)
Address,55 John St.
Latitude,43.64543
Longitude,-79.38908
Elevation, 85 metres
Air Intake Height,3 metres
Pollutant,Ozone (Ozone O3)
Unit, parts per billion (ppb)
Remarks, -999 for missing data. 9999 for invalid data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
31129,Ozone,2021-01-01,17,18,11,19,19,7,22,30,28,28,25,22,26,29,31,28,27,26,26,25,25,25,25,24,
31129,Ozone,2021-01-02,24,20,21,18,18,22,18,17,19,20,22,23,23,27,27,24,28,26,25,27,28,29,28,16,
31129,Ozone,2021-01-03,24,25,25,27,27,23,25,25,21,27,26,21,22,27,17,17,18,12,12,14,9,6,3,5,
31129,Ozone,2021-01-04,11,20,21,22,23,21,20,16,12,11,19,19,15,16,18,16,16,10,15,13,9,13,20,22,
31129,Ozone,2021-01-05,27,25,24,23,23,21,15,10,8,8,7,10,14,17,16,12,10,13,13,16,16,15,11,11,
31129,Ozone,2021-01-06,12,16,15,12,19,24,19,17,21,16,15,24,25,28,29,27,27,28,28,27,30,30,26,26,
31129,Ozone,2021-01-07,23,24,23,24,24,24,24,24,24,21,20,19,18,20,19,15,18,22,22,22,18,20,17,20,
31129,Ozone,2021-01-08,20,16,17,18,19,18,11,16,17,16,14,16,20,19,19,17,13,5,10,9,9,17,21,20,
31129,Ozone,2021-01-09,22,21,25,26,27,27,30,19,11,19,20,19,23,30,30,29,27,24,22,23,19,24,20,19,
31129,Ozone,2021-01-10,20,23,22,25,26,27,26,26,28,28,22,26,29,32,25,27,28,26,21,18,17,8,10,6,
31129,Ozone,2021-01-11,2,2,4,5,15,14,11,7,8,7,18,15,7,12,16,17,19,23,23,22,23,22,21,21,
31129,Ozone,2021-01-12,19,19,21,22,21,18,13,12,11,11,11,11,10,10,11,7,5,10,10,8,9,8,5,4,
31129,Ozone,2021-01-13,5,7,9,10,13,12,9,7,8,11,9,11,10,14,16,15,18,11,12,12,12,8,10,9,
31129,Ozone,2021-01-14,4,2,2,1,2,2,1,1,1,2,1,2,3,8,6,3,2,2,3,2,6,7,7,9,
31129,Ozone,2021-01-15,16,22,25,22,23,22,18,17,18,20,20,19,19,20,19,18,17,18,21,27,28,25,22,21,
31129,Ozone,2021-01-16,19,18,18,16,16,11,11,7,5,8,12,18,22,25,25,28,26,22,20,21,24,25,26,26,
31129,Ozone,2021-01-17,24,20,19,18,18,16,15,16,16,18,18,23,23,26,26,28,24,18,16,15,18,23,23,19,
31129,Ozone,2021-01-18,20,22,22,17,16,21,10,5,4,6,11,15,13,13,13,11,15,8,15,14,12,13,12,14,
31129,Ozone,2021-01-19,22,23,19,18,13,16,19,12,10,11,15,18,23,25,24,23,27,27,27,25,24,26,26,28,
31129,Ozone,2021-01-20,28,28,26,26,27,27,21,15,22,18,17,19,22,19,26,25,26,24,25,24,23,27,32,33,
31129,Ozone,2021-01-21,33,30,25,26,23,19,20,17,16,17,19,21,22,21,19,18,21,20,21,20,17,16,24,29,
31129,Ozone,2021-01-22,27,28,28,28,26,24,19,16,14,20,21,24,27,27,27,25,24,23,24,26,27,25,26,26,
31129,Ozone,2021-01-23,24,25,24,21,19,17,16,12,15,17,22,26,29,31,31,31,31,30,28,27,28,26,25,24,
31129,Ozone,2021-01-24,24,24,26,26,27,22,25,15,18,15,24,31,36,38,38,34,35,35,34,34,34,33,31,32,
31129,Ozone,2021-01-25,33,30,32,34,34,32,33,29,27,21,22,18,18,22,26,27,27,25,11,11,16,18,15,13,
31129,Ozone,2021-01-26,18,19,20,20,31,34,29,25,25,30,29,28,27,26,28,27,27,29,28,28,26,28,26,26,
31129,Ozone,2021-01-27,30,26,21,21,19,19,15,14,17,21,22,25,24,26,26,26,26,26,22,22,19,27,26,23,
31129,Ozone,2021-01-28,26,19,15,21,24,15,15,10,11,17,19,20,27,27,28,30,29,26,26,29,26,25,28,25,
31129,Ozone,2021-01-29,25,28,28,24,28,18,9,4,7,10,12,20,25,23,21,21,22,24,27,26,26,26,26,29,
31129,Ozone,2021-01-30,24,14,19,22,18,12,9,5,6,22,17,18,23,27,29,31,32,30,28,26,17,24,20,21,
31129,Ozone,2021-01-31,21,19,20,20,19,20,19,21,24,28,29,30,33,33,34,35,33,31,24,22,29,32,28,27,





Air Quality Ontario. Maintained by the Government of Ontario
Copyright Queen's Printer for Ontario2023
See Disclaimer at: http://www.airqualityontario.com/science/disclaimer.php 
