
From,January 1, 2021 EST
To,January 31, 2021 EST
Toronto Downtown, (31129) Hourly, Fine Particulate Matter (PM2.5) Concentrations
Station,Toronto Downtown (31129)
Address,55 John St.
Latitude,43.64543
Longitude,-79.38908
Elevation, 85 metres
Air Intake Height,3 metres
Pollutant,Fine Particulate Matter (Fine Particulate Matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, -999 for missing data. 9999 for invalid data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
31129,Fine Particulate Matter,2021-01-01,6,12,11,8,9,12,7,5,5,6,7,7,6,5,4,5,5,6,7,6,6,5,4,3,
31129,Fine Particulate Matter,2021-01-02,3,4,4,3,3,3,3,4,3,2,3,4,5,4,4,5,5,6,8,7,7,8,8,10,
31129,Fine Particulate Matter,2021-01-03,9,10,10,8,7,8,8,8,7,7,7,6,4,4,9,9,7,13,14,12,15,16,15,15,
31129,Fine Particulate Matter,2021-01-04,13,12,13,11,13,12,12,14,18,17,9,8,9,11,11,14,15,18,17,18,15,14,11,9,
31129,Fine Particulate Matter,2021-01-05,8,8,9,10,10,10,12,10,13,16,17,15,14,12,13,16,19,19,18,16,15,14,12,11,
31129,Fine Particulate Matter,2021-01-06,13,11,11,11,8,7,5,5,4,4,5,4,4,3,3,4,3,2,2,2,2,2,2,2,
31129,Fine Particulate Matter,2021-01-07,2,2,3,3,3,3,3,3,3,4,4,6,7,7,4,9,8,8,7,6,6,6,5,5,
31129,Fine Particulate Matter,2021-01-08,6,4,4,4,3,4,4,3,4,2,2,2,2,4,3,4,7,10,8,11,9,7,6,5,
31129,Fine Particulate Matter,2021-01-09,4,4,4,4,3,3,2,3,3,4,4,6,3,5,4,6,6,6,7,7,4,4,4,3,
31129,Fine Particulate Matter,2021-01-10,3,4,5,5,5,4,4,4,3,3,6,6,8,7,8,7,6,8,10,11,12,14,13,15,
31129,Fine Particulate Matter,2021-01-11,16,15,14,19,15,11,11,12,15,19,25,35,44,41,36,25,18,14,12,14,16,16,21,25,
31129,Fine Particulate Matter,2021-01-12,27,28,23,20,21,22,24,24,25,24,21,20,19,15,9,9,9,9,8,8,10,13,16,20,
31129,Fine Particulate Matter,2021-01-13,23,25,23,22,17,18,20,25,27,30,28,26,24,20,18,19,22,25,25,24,24,24,24,23,
31129,Fine Particulate Matter,2021-01-14,24,25,26,26,27,27,28,28,32,34,35,36,36,32,35,36,35,34,34,35,31,32,31,31,
31129,Fine Particulate Matter,2021-01-15,28,22,18,22,21,22,23,18,12,12,14,16,16,18,18,18,18,18,17,15,14,15,16,9,
31129,Fine Particulate Matter,2021-01-16,6,5,7,8,9,9,10,11,13,16,15,13,11,11,10,11,13,12,15,14,10,9,7,7,
31129,Fine Particulate Matter,2021-01-17,9,12,12,13,15,14,10,5,5,5,5,3,3,4,4,5,6,8,9,9,7,5,4,4,
31129,Fine Particulate Matter,2021-01-18,3,3,3,4,4,3,4,5,6,7,7,6,6,8,7,8,9,10,8,9,9,7,7,6,
31129,Fine Particulate Matter,2021-01-19,4,6,9,12,12,6,5,9,14,19,16,11,7,6,6,5,4,5,6,7,6,6,6,5,
31129,Fine Particulate Matter,2021-01-20,5,5,5,5,3,2,2,3,2,2,2,3,3,3,3,3,3,4,4,6,5,5,5,6,
31129,Fine Particulate Matter,2021-01-21,9,14,16,17,17,14,9,8,8,9,9,9,9,9,10,10,10,11,11,10,11,11,7,4,
31129,Fine Particulate Matter,2021-01-22,4,4,4,4,4,3,4,7,6,4,4,4,4,4,4,6,9999,5,5,4,5,3,3,3,
31129,Fine Particulate Matter,2021-01-23,3,4,3,4,4,4,3,4,4,5,4,3,2,3,2,3,4,6,7,7,6,5,5,4,
31129,Fine Particulate Matter,2021-01-24,4,4,4,4,3,4,4,5,5,6,6,6,4,3,3,5,5,6,7,7,7,7,7,7,
31129,Fine Particulate Matter,2021-01-25,8,12,10,9,8,8,8,8,9,11,12,14,12,13,11,10,9,10,15,13,12,14,16,15,
31129,Fine Particulate Matter,2021-01-26,12,10,10,10,6,5,7,8,5,3,4,4,4,4,3,4,5,5,6,7,7,7,7,6,
31129,Fine Particulate Matter,2021-01-27,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,5,6,6,6,6,4,4,3,
31129,Fine Particulate Matter,2021-01-28,2,2,3,2,2,2,2,2,3,3,4,5,2,3,2,3,3,4,3,3,3,3,2,2,
31129,Fine Particulate Matter,2021-01-29,1,1,1,1,1,1,3,4,4,4,4,3,5,5,9,11,5,6,5,4,5,5,4,3,
31129,Fine Particulate Matter,2021-01-30,4,6,4,4,3,5,7,8,7,3,7,8,6,8,7,7,8,9,10,10,12,10,9,8,
31129,Fine Particulate Matter,2021-01-31,7,8,8,7,8,11,9,9,8,6,6,5,4,4,4,10,4,4,6,6,5,4,5,5,





Air Quality Ontario. Maintained by the Government of Ontario
Copyright Queen's Printer for Ontario2023
See Disclaimer at: http://www.airqualityontario.com/science/disclaimer.php 
